weight_kg,avg_length_cm,avg_breadth_cm,temp_c,health_status
1.6,155.2,134.5,32.0,0
1.6,68.3,55.35,32.0,0
1.6,185.75,177.9,32.0,0
1.6,42.55,99.80000000000001,32.0,0
1.6,213.85,190.0,33.5,0
1.6,85.0,117.5,33.5,0
1.6,135.55,92.3,33.5,0
1.8,101.5,75.1,33.5,0
1.8,256.35,154.2,33.5,0
1.8,284.25,208.35,33.5,0
1.8,269.25,116.75,33.5,0
1.8,196.5,114.8,34.0,0
1.8,69.75,71.7,34.0,0
1.8,35.85,21.65,34.0,0
1.8,206.25,111.1,34.0,0
1.34,18.15,20.75,34.0,0
1.34,253.2,136.9,34.0,0
1.34,239.95,149.6,34.0,0
1.34,170.45,229.35,35.0,1
1.34,141.0,140.85,35.0,1
1.34,63.45,121.80000000000001,35.0,1
1.34,189.2,142.8,35.0,1
1.34,283.7,122.15,35.0,1
1.65,272.9,97.15,35.0,1
1.65,264.95,117.0,35.0,1
1.65,245.3,198.55,35.0,1
1.65,143.05,177.25,35.0,1
1.65,161.5,221.7,35.0,1
1.65,82.0,182.7,35.0,1
1.65,340.35,147.0,35.0,1
1.65,237.3,107.7,35.0,1
1.35,223.5,183.9,35.0,1
1.35,234.85,236.75,35.0,1
1.35,201.25,112.89999999999999,36.0,1
1.35,126.5,139.35,36.0,1
1.35,211.85,160.85,36.0,1
1.35,142.85,135.5,36.0,1
1.35,124.1,118.1,36.0,1
1.35,284.6,188.0,36.0,1
1.55,159.05,111.75,36.0,1
1.55,202.25,154.75,36.0,1
1.55,103.5,62.75,36.0,1
1.55,159.75,165.9,36.0,1
1.55,232.25,101.8,36.0,1
1.55,147.55,181.35,36.0,1
1.55,238.15,139.0,36.0,1
1.55,246.25,69.15,36.0,1
1.67,234.1,98.35,36.0,1
1.67,150.9,120.5,36.0,1
1.67,230.1,203.5,36.0,1
1.67,246.0,198.0,36.0,1
1.67,138.85,149.15,36.0,1
1.67,224.25,201.65,36.0,1
1.67,72.6,147.55,36.0,1
1.67,158.25,169.5,36.0,1
1.6,233.25,226.0,36.0,1
1.6,146.75,217.5,36.0,1
1.6,304.0,146.65,36.0,1
1.6,168.75,188.4,36.0,1
1.6,183.4,179.0,36.0,1
1.6,212.75,214.6,36.0,1
1.6,162.5,142.5,35.0,1
1.6,86.0,83.5,35.0,1
1.65,157.0,139.0,35.0,1
1.65,158.0,142.0,35.0,1
1.65,123.0,149.0,35.0,1
1.65,152.5,137.5,35.0,1
1.65,128.0,147.0,35.0,1
1.65,133.0,153.5,35.0,1
1.65,161.5,221.7,35.0,1
1.65,82.0,182.7,35.0,1
1.26,109.5,95.5,34.0,0
1.26,106.0,91.5,34.0,0
1.26,59.0,141.0,34.0,0
1.26,38.0,141.0,34.0,0
1.26,57.0,93.5,34.0,0
1.26,184.5,67.5,34.0,0
1.26,41.5,67.5,34.0,0
1.26,138.0,117.0,34.0,0
